date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:27	288501/288501	---M--	200	added ('OK')	image/png	etag:%225e2795d4-466f5%22	https://dispatch.me/wp-content/uploads/2019/12/Avi-Goldberg-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2019/12/Avi-Goldberg-500x500.png	(from https://dispatch.me/about/team/)
21:47:27	380345/380345	---M--	200	added ('OK')	image/png	etag:%2260560cd3-5cdb9%22	https://dispatch.me/wp-content/uploads/2021/03/David-M-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/David-M-500x500.png	(from https://dispatch.me/about/team/)
21:47:27	288775/288775	---M--	200	added ('OK')	image/png	etag:%225e2795d3-46807%22	https://dispatch.me/wp-content/uploads/2019/12/David-Morland-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2019/12/David-Morland-500x500.png	(from https://dispatch.me/about/team/)
21:47:28	350364/350364	---M--	200	added ('OK')	image/png	etag:%2260560d60-5589c%22	https://dispatch.me/wp-content/uploads/2021/03/Scott-R-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Scott-R-500x500.png	(from https://dispatch.me/about/team/)
21:47:28	279971/279971	---M--	200	added ('OK')	image/png	etag:%225e2795d3-445a3%22	https://dispatch.me/wp-content/uploads/2019/12/Scott-R-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2019/12/Scott-R-500x500.png	(from https://dispatch.me/about/team/)
21:47:29	380530/380530	---M--	200	added ('OK')	image/png	etag:%2260560d4c-5ce72%22	https://dispatch.me/wp-content/uploads/2021/03/Rob-S-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Rob-S-500x500.png	(from https://dispatch.me/about/team/)
21:47:29	414196/414196	---M--	200	added ('OK')	image/png	etag:%2260560d3e-651f4%22	https://dispatch.me/wp-content/uploads/2021/03/Nahi-S-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Nahi-S-500x500.png	(from https://dispatch.me/about/team/)
21:47:29	343258/343258	---M--	200	added ('OK')	image/png	etag:%226086e475-53cda%22	https://dispatch.me/wp-content/uploads/2021/04/James-W-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/04/James-W-500x500.png	(from https://dispatch.me/about/team/)
21:47:31	392231/392231	---M--	200	added ('OK')	image/png	etag:%226061fc93-5fc27%22	https://dispatch.me/wp-content/uploads/2021/03/Yoshino-K-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Yoshino-K-500x500.png	(from https://dispatch.me/about/team/)
21:47:31	456983/456983	---M--	200	added ('OK')	image/png	etag:%2260560cdf-6f917%22	https://dispatch.me/wp-content/uploads/2021/03/Greg-K-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Greg-K-500x500.png	(from https://dispatch.me/about/team/)
21:47:31	267076/267076	---M--	200	added ('OK')	image/png	etag:%2260560d5c-41344%22	https://dispatch.me/wp-content/uploads/2021/03/Sam-R-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Sam-R-500x500.png	(from https://dispatch.me/about/team/)
21:47:31	340957/340957	---M--	200	added ('OK')	image/png	etag:%225e2795d3-533dd%22	https://dispatch.me/wp-content/uploads/2020/01/Sam-Robinson-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2020/01/Sam-Robinson-500x500.png	(from https://dispatch.me/about/team/)
21:47:32	364436/364436	---M--	200	added ('OK')	image/png	etag:%2260560d50-58f94%22	https://dispatch.me/wp-content/uploads/2021/03/Robin-F-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Robin-F-500x500.png	(from https://dispatch.me/about/team/)
21:47:32	279992/279992	---M--	200	added ('OK')	image/png	etag:%225e2795d3-445b8%22	https://dispatch.me/wp-content/uploads/2020/01/Robin-F-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2020/01/Robin-F-500x500.png	(from https://dispatch.me/about/team/)
21:47:32	376599/376599	---M--	200	added ('OK')	image/png	etag:%2260560cd7-5bf17%22	https://dispatch.me/wp-content/uploads/2021/03/Erin-M-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Erin-M-500x500.png	(from https://dispatch.me/about/team/)
21:47:33	365578/365578	---M--	200	added ('OK')	image/png	etag:%2260560d15-5940a%22	https://dispatch.me/wp-content/uploads/2021/03/Lauren-E-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Lauren-E-500x500.png	(from https://dispatch.me/about/team/)
21:47:33	301323/301323	---M--	200	added ('OK')	image/png	etag:%2260560cf1-4990b%22	https://dispatch.me/wp-content/uploads/2021/03/Jeff-M-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Jeff-M-500x500.png	(from https://dispatch.me/about/team/)
21:47:33	324567/324567	---M--	200	added ('OK')	image/png	etag:%225e2795d3-4f3d7%22	https://dispatch.me/wp-content/uploads/2020/01/Lauren-E-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2020/01/Lauren-E-500x500.png	(from https://dispatch.me/about/team/)
21:47:35	363296/363296	---M--	200	added ('OK')	image/png	etag:%226154ce00-58b20%22	https://dispatch.me/wp-content/uploads/2021/09/Joe-K-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/09/Joe-K-500x500.png	(from https://dispatch.me/about/team/)
21:47:35	343953/343953	---M--	200	added ('OK')	image/png	etag:%2260f0765f-53f91%22	https://dispatch.me/wp-content/uploads/2021/07/Jack-N-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/07/Jack-N-500x500.png	(from https://dispatch.me/about/team/)
21:47:35	291865/291865	---M--	200	added ('OK')	image/png	etag:%225e2795d2-47419%22	https://dispatch.me/wp-content/uploads/2020/01/Daniel-Colangelo-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2020/01/Daniel-Colangelo-500x500.png	(from https://dispatch.me/about/team/)
21:47:35	380113/380113	---M--	200	added ('OK')	image/png	etag:%2260560ccc-5ccd1%22	https://dispatch.me/wp-content/uploads/2021/03/Dan-C-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Dan-C-500x500.png	(from https://dispatch.me/about/team/)
21:47:36	300407/300407	---M--	200	added ('OK')	image/png	etag:%2260560d68-49577%22	https://dispatch.me/wp-content/uploads/2021/03/Tyler-D-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2021/03/Tyler-D-500x500.png	(from https://dispatch.me/about/team/)
21:47:36	255560/255560	---M--	200	added ('OK')	image/png	etag:%225e2795d3-3e648%22	https://dispatch.me/wp-content/uploads/2020/01/Tyler-DiTomaso-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2020/01/Tyler-DiTomaso-500x500.png	(from https://dispatch.me/about/team/)
21:47:37	318055/318055	---M--	200	added ('OK')	image/png	etag:%225e2795d3-4da67%22	https://dispatch.me/wp-content/uploads/2020/01/Taylor-Kyle-500x500.png	D:/MFP/projects/bst/tada2/dispatch.me/wp-content/uploads/2020/01/Taylor-Kyle-500x500.png	(from https://dispatch.me/about/team/)
